event_id,timestamp,account_id,user_id,event_type,asset_type,topic,output_type,citation_opened,memory_reused,user_override,reviewer_invited,exported,notes
E001,2026-05-01,A001,U001,file_uploaded,excel_model,NVDA earnings,model_update,false,false,false,false,false,uploaded model and transcript
E002,2026-05-01,A001,U001,analysis_generated,transcript,NVDA earnings,pm_summary,true,false,true,false,false,first draft heavily edited
E003,2026-05-02,A001,U001,output_exported,excel_model,NVDA earnings,pm_summary,true,true,false,true,true,sent to PM
E004,2026-05-16,A001,U001,workflow_rerun,excel_model,AMD earnings,pm_summary,true,true,false,true,true,reused same earnings workflow
E005,2026-05-17,A001,U002,reviewer_opened,summary,AMD earnings,pm_summary,true,true,false,false,false,PM reviewed output
E006,2026-05-03,A002,U003,file_uploaded,data_room,Project Falcon diligence,ic_memo,false,false,false,false,false,uploaded CIM and model
E007,2026-05-03,A002,U003,analysis_generated,data_room,Project Falcon diligence,ic_memo,true,false,false,false,true,IC memo draft exported
E008,2026-05-05,A002,U004,reviewer_opened,ic_memo,Project Falcon diligence,ic_memo,true,false,false,false,false,principal reviewed
E009,2026-05-18,A002,U003,workflow_rerun,data_room,Project River diligence,ic_memo,true,true,false,true,true,reused diligence memo workflow
E010,2026-05-04,A003,U005,file_uploaded,actuals_export,monthly reporting,variance_summary,false,false,false,false,false,uploaded budget actuals
E011,2026-05-04,A003,U005,analysis_generated,actuals_export,monthly reporting,variance_summary,true,false,true,false,false,edited mapping and comments
E012,2026-05-10,A003,U005,analysis_generated,actuals_export,monthly reporting,variance_summary,true,false,true,false,false,second attempt still overridden
E013,2026-05-12,A003,U006,reviewer_invited,variance_summary,monthly reporting,variance_summary,true,false,false,true,false,VP invited but no export
E014,2026-05-06,A004,U007,file_uploaded,excel_model,merger spread update,model_update,false,false,false,false,false,uploaded event model
E015,2026-05-06,A004,U007,analysis_generated,excel_model,merger spread update,catalyst_update,true,false,true,false,false,analysis generated but not exported
E016,2026-05-20,A004,U007,file_uploaded,filing,regulatory approval update,catalyst_update,false,false,false,false,false,new catalyst work started no completion
E017,2026-05-07,A005,U008,file_uploaded,data_room,Project Atlas diligence,quality_of_earnings,false,false,false,false,false,uploaded QoE files
E018,2026-05-08,A005,U008,analysis_generated,data_room,Project Atlas diligence,quality_of_earnings,true,false,false,false,true,output exported
E019,2026-05-19,A005,U008,workflow_rerun,data_room,Project Nova diligence,quality_of_earnings,true,true,false,false,true,reused diligence analysis
E020,2026-05-09,A006,U009,file_uploaded,planning_model,board reporting,board_pack,false,false,false,false,false,uploaded planning model
E021,2026-05-09,A006,U009,analysis_generated,planning_model,board reporting,board_pack,true,true,false,true,true,board pack generated
E022,2026-05-15,A006,U010,reviewer_opened,board_pack,board reporting,board_pack,true,true,false,false,false,CFO reviewed
E023,2026-05-21,A006,U009,workflow_rerun,planning_model,board reporting,board_pack,true,true,false,true,true,next board cycle rerun
E024,2026-05-22,A001,U001,workflow_rerun,excel_model,MSFT earnings,pm_summary,true,true,false,true,true,third earnings workflow rerun
E025,2026-05-22,A001,U002,reviewer_opened,summary,MSFT earnings,pm_summary,true,true,false,false,false,PM reviewed third rerun
